,_id,RecordType,Line,Floor,Description,Area,Price,Value,UAN
34,5ff5fc9d01ca7dbc6d2a56d2,2.0,4,Ground,Outdoor Display/Seating Area,30.01,25.00,750.0,120981212
35,5ff5fc9d01ca7dbc6d2a6062,2.0,1,Ground,Staff Toilets,,0.00,0.0,8982923000
36,5ff5fc9d01ca7dbc6d2a6063,2.0,2,Ground,Retail Zone A,29.60,180.00,5328.0,8982923000
37,5ff5fc9d01ca7dbc6d2a6311,2.0,2,Ground,Retail Zone C,40.70,87.50,3561.0,248888212
38,5ff5fc9d01ca7dbc6d2a6314,2.0,5,First,Retail Area,23.27,35.00,814.0,248888212
39,5ff5fc9d01ca7dbc6d2a6317,2.0,8,First,Store,41.50,17.50,726.0,248888212
40,5ff5fc9d01ca7dbc6d2a672f,2.0,5,First,Office,10.20,10.00,102.0,88130212
41,5ff5fc9d01ca7dbc6d2a666e,2.0,1,Ground,Retail Zone A,36.30,200.00,7260.0,248935212
42,5ff5fc9d01ca7dbc6d2a6671,2.0,4,Ground,Internal Storage,9.40,20.00,188.0,248935212
43,5ff5fc9d01ca7dbc6d2a6d54,2.0,2,Ground,Retail Zone B,33.55,175.00,5871.0,10167036000
44,5ff5fc9d01ca7dbc6d2a6674,2.0,7,Ground,Staff Toilets,,0.00,0.0,248935212
45,5ff5fc9d01ca7dbc6d2a6675,2.0,8,Ground,Garage,13.40,10.00,134.0,248935212
46,5ff5fc9d01ca7dbc6d2a672e,2.0,4,First,Office,17.70,10.00,177.0,88130212
47,5ff5fc9d01ca7dbc6d2a6d53,2.0,1,Ground,Retail Zone A,33.03,350.00,11561.0,10167036000
48,5ff5fc9d01ca7dbc6d2a6d55,2.0,3,Ground,Retail Zone C,11.80,87.50,1033.0,10167036000
49,5ff5fc9d01ca7dbc6d2a6670,2.0,3,Ground,Internal Storage,1.90,20.00,38.0,248935212
50,5ff5fc9d01ca7dbc6d2a672d,2.0,3,Ground,Kitchen,9.43,20.00,189.0,88130212
51,5ff5fc9d01ca7dbc6d2a67bb,2.0,3,Ground,Staff Toilets,,0.00,0.0,10510757000
52,5ff5fc9d01ca7dbc6d2a67ba,2.0,2,Ground,Retail Zone B,21.91,100.00,2191.0,10510757000
53,5ff5fc9d01ca7dbc6d2a67b9,2.0,1,Ground,Retail Zone A,30.78,210.00,6464.0,10510757000
54,5ff5fc9d01ca7dbc6d2a6673,2.0,6,Ground,Internal Storage,6.50,20.00,130.0,248935212
55,5ff5fc9d01ca7dbc6d2a672c,2.0,2,Ground,Office,10.40,20.00,208.0,88130212
56,5ff5fc9d01ca7dbc6d2a666f,2.0,2,Ground,Retail Zone B,20.10,100.00,2010.0,248935212
57,5ff5fc9d01ca7dbc6d2a6672,2.0,5,Ground,Kitchen,12.50,20.00,250.0,248935212
58,5ff5fc9d01ca7dbc6d2a6730,2.0,6,First,Office,8.80,10.00,88.0,88130212
59,5ff5fc9d01ca7dbc6d2a672b,2.0,1,Ground,Retail Zone A,12.50,200.00,2500.0,88130212
60,5ff5fc9d01ca7dbc6d2a7fe3,2.0,3,First,Mess/Staff Room,63.34,49.01,3104.0,6031527000
61,5ff5fc9d01ca7dbc6d2a7fe4,2.0,4,Ground,Warehouse,1823.20,45.77,83448.0,6031527000
62,5ff5fc9d01ca7dbc6d2a7fe8,2.0,8,Ground,Reception / Entrance,107.60,48.60,5229.0,6031527000
63,5ff5fc9d01ca7dbc6d2a8416,2.0,1,Ground,Retail Zone A,48.75,250.00,12188.0,11621565000
64,5ff5fc9d01ca7dbc6d2a7fe5,2.0,5,Ground,Warehouse,2154.30,44.55,95974.0,6031527000
65,5ff5fc9d01ca7dbc6d2a7fe9,2.0,9,Ground,Canopy,515.85,6.08,3136.0,6031527000
66,5ff5fc9d01ca7dbc6d2a8419,2.0,4,Ground,Office,12.00,25.00,300.0,11621565000
67,5ff5fc9d01ca7dbc6d2a7fe1,2.0,1,Ground,Warehouse,832.88,44.55,37105.0,6031527000
68,5ff5fc9d01ca7dbc6d2a7fe6,2.0,6,Ground,Office,102.61,49.01,5029.0,6031527000
69,5ff5fc9d01ca7dbc6d2a8417,2.0,2,Ground,Retail Zone B,55.92,125.00,6990.0,11621565000
70,5ff5fc9d01ca7dbc6d2a7fe2,2.0,2,Ground,Office,63.34,49.01,3104.0,6031527000
71,5ff5fc9d01ca7dbc6d2a7fe7,2.0,7,Ground,Office,37.48,44.55,1670.0,6031527000
72,5ff5fc9d01ca7dbc6d2a8418,2.0,3,Ground,Retail Zone C,20.33,62.50,1271.0,11621565000
73,5ff5fc9d01ca7dbc6d2a8ad6,2.0,8,Ground,Staff Toilets,,0.00,0.0,11214732000
74,5ff5fc9d01ca7dbc6d2a8ad0,2.0,2,Ground,Warehouse,81.69,39.00,3186.0,11214732000
75,5ff5fc9d01ca7dbc6d2a8f83,2.0,1,Ground,Retail Zone A,20.78,200.00,4156.0,11105312000
76,5ff5fc9d01ca7dbc6d2a8e19,2.0,5,Ground,Workshop,73.16,39.00,2853.0,12869046000
77,5ff5fc9d01ca7dbc6d2a8ad1,2.0,3,Ground,Store,37.07,39.00,1446.0,11214732000
