,_id,RecordType,AssessmentReference,UARN,BillingAuthorityCode,FirmsName,NumberOrName,SubStreet3,SubStreet2,Substreet1,Street,PostalDistrict,Town,County,Postcode,SchemeReference,PrimaryDesc,TotalArea,SubTotal,TotalValue,AdoptedRV,ListYear,BAName,BAReferenceNumber,VORef,FromDate,ToDate,SCAT,UoM,UnadjustedPrice,UAN
25,5ff5f6b401ca7dbc6d01694a,1.0,18870751000,249370212,0116,The Occupier,366,,,,GLOUCESTER ROAD,BISHOPSTON,BRISTOL,,BS7 8TP,315166.0,Shop And Premises,45.63,4141.0,4141.0,4100.0,2017.0,Bristol City,00012362366004,20713026212.0,01-APR-2017,,249.0,NIA,200.0,249370212
26,5ff5f6b401ca7dbc6d016991,1.0,18871941000,331355212,0116,The Occupier,49,,,,ASHLEY DOWN ROAD,,BRISTOL,,BS7 9JN,315166.0,Shop And Premises,101.97,9991.0,10705.0,10500.0,2017.0,Bristol City,00013870049012,20758336212.0,01-APR-2017,,249.0,NIA,165.0,331355212
27,5ff5f6b401ca7dbc6d0171c3,1.0,18332778000,5101212,0116,,140-144,,,,ASHLEY DOWN ROAD,,BRISTOL,,BS7 9JS,430027.0,Tyre & Exhaust Centre,405.34,28155.0,28955.0,28750.0,2017.0,Bristol City,00013870140006,20741730212.0,01-APR-2017,,95.0,GIA,75.0,5101212
28,5ff5f6b401ca7dbc6d0167d8,1.0,18788228000,10514488000,0116,The Occupier,KELLAWAY BUILDING SUPPLIES LTD,,,,ROMNEY AVENUE,,BRISTOL,,BS7 9ST,422768.0,Warehouse And Premises,1416.1,50314.0,72064.0,72000.0,2017.0,Bristol City,00015607500023,27675735212.0,01-APR-2017,,96.0,GIA,38.0,10514488000
29,5ff5f6b401ca7dbc6d0167ea,1.0,18871889000,7424510000,0116,The Occupier,370,,,,GLOUCESTER ROAD,HORFIELD,BRISTOL,,BS7 8TP,315166.0,Shop And Premises,48.73,6779.0,7073.0,7000.0,2017.0,Bristol City,00015491370001,20770409212.0,01-APR-2017,,249.0,NIA,200.0,7424510000
30,5ff5f6b401ca7dbc6d016dd2,1.0,18870040000,9306442000,0116,,26-34,,,,LOWER ASHLEY ROAD,ST AGNES,BRISTOL,,BS2 9NP,313869.0,Shop And Premises,503.6,35576.0,28461.0,28250.0,2017.0,Bristol City,00015545028023,24189570212.0,01-APR-2017,,249.0,NIA,160.0,9306442000
31,5ff5f6b401ca7dbc6d016df4,1.0,18869164000,190179212,0116,The Occupier,2,,,,LOWER ASHLEY ROAD,ST AGNES,BRISTOL,,BS2 9NP,313869.0,Shop And Premises,63.92,7648.0,7648.0,7600.0,2017.0,Bristol City,00015545002005,20745918212.0,01-APR-2017,,249.0,NIA,160.0,190179212
32,5ff5f6b401ca7dbc6d01692e,1.0,18870273000,5119212,0116,The Occupier,103,,,,ASHLEY DOWN ROAD,,BRISTOL,,BS7 9JT,315166.0,Shop & Premises,44.81,4963.0,4963.0,4950.0,2017.0,Bristol City,00013870103007,20733745212.0,01-APR-2017,,249.0,NIA,165.0,5119212
33,5ff5f6b401ca7dbc6d016b3c,1.0,18870384000,6750169000,0116,The Occupier,GND & BSMT 140,,,,ASHLEY ROAD,,BRISTOL,,BS6 5PA,315166.0,Shop And Premises,89.17,7447.0,7447.0,7400.0,2017.0,Bristol City,00015389140012,20735728212.0,01-APR-2017,,249.0,NIA,175.0,6750169000
34,5ff5f6b401ca7dbc6d016d3d,1.0,18870587000,248915212,0116,,379C,,,,GLOUCESTER ROAD,BISHOPSTON,BRISTOL,,BS7 8TN,315166.0,Shop And Premises,47.3,5847.0,5847.0,5800.0,2017.0,Bristol City,00012362379004,20709383212.0,01-APR-2017,,249.0,NIA,200.0,248915212
35,5ff5f6b401ca7dbc6d016937,1.0,18870724000,249397212,0116,,436-440,,,,GLOUCESTER ROAD,BISHOPSTON,BRISTOL,,BS7 8TX,315166.0,Shop And Premises,129.6,15786.0,15786.0,15750.0,2017.0,Bristol City,00012362436033,20710004212.0,01-APR-2017,,249.0,NIA,150.0,249397212
36,5ff5f6b401ca7dbc6d016b6e,1.0,18870889000,248946212,0116,The Occupier,443,,,,GLOUCESTER ROAD,BISHOPSTON,BRISTOL,,BS7 8TZ,315166.0,Shop And Premises,30.75,4144.0,4144.0,4100.0,2017.0,Bristol City,00012362443003,20709303212.0,01-APR-2017,,249.0,NIA,150.0,248946212
